state,district,party,candidatevotes,candidate
Illinois,1,democrat,189560,Bobby L. Rush
Illinois,1,republican,50960,"Jimmy Lee Tillman, Ii"
Illinois,1,independent,17365,Thomas Rudbeck
Illinois,1,,0,
Illinois,10,democrat,156540,Brad Schneider
Illinois,10,republican,82124,Douglas R. Bennett
Illinois,11,democrat,145407,Bill Foster
Illinois,11,republican,82358,Nick Stella
Illinois,12,democrat,118724,Brendan Kelly
Illinois,12,republican,134884,Mike Bost
Illinois,12,green,7935,Randy Auxier
Illinois,13,democrat,134458,Betsy Dirksen Londrigan
Illinois,13,republican,136516,Rodney Davis
Illinois,13,,7,
Illinois,14,democrat,156035,Lauren Underwood
Illinois,14,republican,141164,Randall M. \Randy\ Hultgren
Illinois,15,republican,181294,John M. Shimkus
Illinois,15,democrat,74309,Kevin Gaither
Illinois,15,,5,
Illinois,16,republican,151254,Adam Kinzinger
Illinois,16,democrat,104569,Sara Dady
Illinois,16,,2,
Illinois,17,democrat,142659,Cheri Bustos
Illinois,17,republican,87090,William W. \Bill\ Fawell
Illinois,18,republican,195927,Darin Lahood
Illinois,18,democrat,95486,Junius Rodriguez
Illinois,2,republican,44567,David Merkle
Illinois,2,democrat,190684,Robin Kelly
Illinois,3,republican,57885,Arthur J. Jones
Illinois,3,democrat,163053,Daniel William Lipinski
Illinois,3,,2396,
Illinois,4,democrat,143895,Jesus \Chuy\ Garcia
Illinois,4,republican,22294,Mark Wayne Lorch
Illinois,5,democrat,213992,Mike Quigley
Illinois,5,republican,65134,Tom Hanson
Illinois,5,,5,
Illinois,6,republican,146445,Peter J. Roskam
Illinois,6,democrat,169001,Sean Casten
Illinois,6,,0,
Illinois,7,republican,30497,Craig Cameron
Illinois,7,democrat,215746,Danny K. Davis
Illinois,8,republican,67073,Jitendra \Jd\ Diganvker
Illinois,8,democrat,130054,Raja Krishnamoorthi
Illinois,9,democrat,213368,Janice D. Schakowsky
Illinois,9,republican,76983,John D. Elleson
Ohio,1,republican,154409,Steve Chabot
Ohio,1,,5,
Ohio,1,libertarian,5339,Dirk Kubala
Ohio,1,democrat,141118,Aftab Pureval
Ohio,2,,8,
Ohio,2,green,3606,James J. Condit Jr
Ohio,2,democrat,119333,Jill Schiller
Ohio,2,republican,166714,Brad Wenstrup
Ohio,3,democrat,181575,Joyce Beatty
Ohio,3,republican,65040,Jim Burgess
Ohio,3,,62,
Ohio,4,democrat,89412,Janet Garrett
Ohio,4,republican,167993,Jim Jordan
Ohio,5,democrat,99655,J. Michael Galbraith
Ohio,5,libertarian,7393,Don Kissick
Ohio,5,republican,176569,Bob Latta
Ohio,6,republican,172774,Bill Johnson
Ohio,6,democrat,76716,Shawna Roberts
Ohio,7,republican,153117,Bob Gibbs
Ohio,7,democrat,107536,Ken Harbaugh
Ohio,8,republican,173852,Warren Davidson
Ohio,8,democrat,87281,Vanessa Enoch
Ohio,9,democrat,157219,Marcy Kaptur
Ohio,9,republican,74670,Steven W. Kraus
Ohio,9,,48,
Ohio,10,democrat,118785,Theresa A. Gasper
Ohio,10,libertarian,5387,David A. Harlow
Ohio,10,republican,157554,Mike Turner
Ohio,11,,36,
Ohio,11,democrat,206138,Marcia L. Fudge
Ohio,11,republican,44486,Beverly A. Goldstein
Ohio,12,republican,175677,Troy Balderson
Ohio,12,,1,
Ohio,12,green,4718,Joe Manchik
Ohio,12,democrat,161251,Danny O'Connor
Ohio,13,republican,98047,Chris DePizzo
Ohio,13,democrat,153323,Tim Ryan
Ohio,14,republican,169809,David P. Joyce
Ohio,14,democrat,137549,Betsy Rader
Ohio,15,libertarian,5738,Johnathan Miller
Ohio,15,democrat,116112,Rick Neal
Ohio,15,republican,170593,Steve Stivers
Ohio,16,republican,170029,Anthony Gonzalez
Ohio,16,democrat,129681,Susan Moran Palmer
Oregon,1,libertarian,15121,Drew A Layda
Oregon,1,democrat,231198,Suzanne Bonamici
Oregon,1,republican,116446,John Verbeek
Oregon,1,,484,
Oregon,2,independent,15536,Mark R Roberts
Oregon,2,republican,207597,Greg Walden
Oregon,2,democrat,145298,Jamie McLeod-Skinner
Oregon,2,,278,
Oregon,3,independent,21352,Marc W Koller
Oregon,3,democrat,279019,Earl Blumenauer
Oregon,3,libertarian,5767,Gary Lyndon Dye
Oregon,3,constitution,1487,Michael Marsh
Oregon,3,republican,76187,Tom Harrison
Oregon,3,,514,
Oregon,4,republican,152414,Art Robinson
Oregon,4,libertarian,5370,Richard R Jacobson
Oregon,4,pacific green,5956,Mike Beilstein
Oregon,4,democrat,208710,Peter DeFazio
Oregon,4,,443,
Oregon,5,republican,149887,Mark Callahan
Oregon,5,libertarian,6054,Dan Souza
Oregon,5,pacific green,4802,Marvin Sandnes
Oregon,5,democrat,197187,Kurt Schrader
Oregon,5,,539,
