GISJOIN,YEAR,REGIONA,DIVISIONA,STATE,STATEA,COUNTYA,COUSUBA,PLACEA,AIANHHA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SDELMA,SDSECA,SDUNIA,PUMA5A,NAME_E,AIUXE001,AIUXE002,AIUXE003,AIUXE004,AIUXE005,AIUXE006,AIUXE007,AIUXE008,AIUXE009,AIUXE010,NAME_M,AIUXM001,AIUXM002,AIUXM003,AIUXM004,AIUXM005,AIUXM006,AIUXM007,AIUXM008,AIUXM009,AIUXM010
"G01001","2018",,,"Alabama","01",,,,,,,,,,,,,"01",,,,,"Congressional District 1 (116th Congress), Alabama",715346,479949,196891,6992,10627,183,7691,13013,999,12014,"Congressional District 1 (116th Congress), Alabama",3366,3347,3000,1403,998,190,2864,2818,665,2575
"G01002","2018",,,"Alabama","01",,,,,,,,,,,,,"02",,,,,"Congressional District 2 (116th Congress), Alabama",678122,426674,217977,2838,7442,26,8158,15007,594,14413,"Congressional District 2 (116th Congress), Alabama",7200,3904,7544,733,1740,33,2177,2845,386,2842
"G01003","2018",,,"Alabama","01",,,,,,,,,,,,,"03",,,,,"Congressional District 3 (116th Congress), Alabama",708409,490987,183949,1300,13049,0,6291,12833,1684,11149,"Congressional District 3 (116th Congress), Alabama",5269,4276,4586,558,1516,201,2173,2804,891,2686
"G01004","2018",,,"Alabama","01",,,,,,,,,,,,,"04",,,,,"Congressional District 4 (116th Congress), Alabama",686297,591084,51171,4391,3072,677,20337,15565,970,14595,"Congressional District 4 (116th Congress), Alabama",5436,6887,2695,1680,894,618,2888,3043,783,2949
"G01005","2018",,,"Alabama","01",,,,,,,,,,,,,"05",,,,,"Congressional District 5 (116th Congress), Alabama",725634,539903,130913,3123,12215,160,19959,19361,1281,18080,"Congressional District 5 (116th Congress), Alabama",447,2958,2262,1145,1271,147,3026,2774,667,2809
"G01006","2018",,,"Alabama","01",,,,,,,,,,,,,"06",,,,,"Congressional District 6 (116th Congress), Alabama",713595,556700,109254,1512,13683,545,15654,16247,1861,14386,"Congressional District 6 (116th Congress), Alabama",8310,6962,6656,663,2499,529,4180,3842,1572,3384
"G01007","2018",,,"Alabama","01",,,,,,,,,,,,,"07",,,,,"Congressional District 7 (116th Congress), Alabama",660468,221541,416885,1907,5007,206,5937,8985,959,8026,"Congressional District 7 (116th Congress), Alabama",11651,7865,9393,826,1311,315,2131,2629,611,2447
"G02000","2018",,,"Alaska","02",,,,,,,,,,,,,"00",,,,,"Congressional District (at Large) (116th Congress), Alaska",737438,474555,25197,111371,46381,7958,9780,62196,3699,58497,"Congressional District (at Large) (116th Congress), Alaska",0,3233,1976,3747,2635,1583,2618,4631,1298,4720
"G04001","2018",,,"Arizona","04",,,,,,,,,,,,,"01",,,,,"Congressional District 1 (116th Congress), Arizona",770392,504227,19319,180970,11798,1188,24250,28640,2947,25693,"Congressional District 1 (116th Congress), Arizona",10069,10423,2535,5410,2207,909,4533,3746,1201,3728
"G04002","2018",,,"Arizona","04",,,,,,,,,,,,,"02",,,,,"Congressional District 2 (116th Congress), Arizona",724747,584070,28469,13349,21765,1139,39945,36010,8036,27974,"Congressional District 2 (116th Congress), Arizona",11285,9712,3628,3760,2922,608,5415,5156,2693,4238
