state,district,party,candidatevotes,candidate
Illinois,1,democratic,234037,Bobby L. Rush
Illinois,1,republican,81817,"August """"O'Neill"""" Deuser"
Illinois,2,republican,59471,John F. Morrow
Illinois,2,democratic,235051,Robin L. Kelly
Illinois,3,democratic,225320,Daniel Lipinski
Illinois,4,democratic,171297,Luis V. Guti_rrez
Illinois,5,republican,86222,Vince Kolber
Illinois,5,democratic,212842,Mike Quigley
Illinois,6,republican,208555,Peter J. Roskam
Illinois,6,democratic,143591,Amanda Howland
Illinois,7,republican,46882,Jeffrey A. Leef
Illinois,7,democratic,250584,Danny K. Davis
Illinois,8,democratic,144954,Raja Krishnamoorthi
Illinois,8,republican,103617,"Peter """"Pete"""" DiCianni"
Illinois,9,republican,109550,Joan McCarthy Lasonde
Illinois,9,democratic,217306,Janice D. Schakowsky
Illinois,10,democratic,150435,Brad Schneider
Illinois,10,republican,135535,Robert J. Dold
Illinois,11,republican,108995,Tonia Khouri
Illinois,11,democratic,166578,Bill Foster
Illinois,12,democratic,124246,"Charles """"C. J."""" Baricevic"
Illinois,12,republican,169976,Mike Bost
Illinois,13,democratic,126811,Mark D. Wicklund
Illinois,13,republican,187583,Rodney Davis
Illinois,14,democratic,137589,Jim Walz
Illinois,14,republican,200508,Randy Hultgren
Illinois,15,republican,274554,John Shimkus
Illinois,16,republican,259722,Adam Kinzinger
Illinois,17,republican,113943,Patrick Harlan
Illinois,17,democratic,173125,Cheri Bustos
Illinois,18,republican,250506,Darin LaHood
Illinois,18,democratic,96770,Junius Rodriguez
Ohio,1,republican,210014,Steve Chabot
Ohio,1,democratic,144644,Michele Young
Ohio,2,republican,221193,Brad R. Wenstrup
Ohio,2,democratic,111694,William R. Smith
Ohio,3,democratic,199791,Joyce Beatty
Ohio,3,republican,91560,John Adams
Ohio,4,republican,210227,Jim Jordan
Ohio,4,democratic,98981,Janet Garrett
Ohio,5,democratic,100392,James Neu Jr.
Ohio,5,republican,244599,Robert E. Latta
Ohio,6,democratic,88780,Michael L. Lorentz
Ohio,6,republican,213975,Bill Johnson
Ohio,7,democratic,89638,Roy Rich
Ohio,7,republican,198221,Bob Gibbs
Ohio,8,republican,223833,Warren Davidson
Ohio,8,democratic,87794,Steven Fought
Ohio,9,democratic,193966,Marcy Kaptur
Ohio,9,republican,88427,Donald P. Larson
Ohio,10,republican,215724,Michael R. Turner
Ohio,10,democratic,109981,Robert Klepinger
Ohio,11,republican,59769,Beverly A. Goldstein
Ohio,11,democratic,242917,Marcia L. Fudge
Ohio,12,republican,251266,Patrick J. Tiberi
Ohio,12,democratic,112638,Ed Albertson
Ohio,13,democratic,208610,Tim Ryan
Ohio,13,republican,99377,Richard A. Morckel
Ohio,14,republican,219191,David P. Joyce
Ohio,14,democratic,130907,Michael Wager
Ohio,15,democratic,113960,Scott Wharton
Ohio,15,republican,222847,Steve Stivers
Ohio,16,democratic,119830,Keith Mundy
Ohio,16,republican,225794,James B. Renacci
Oregon,1,democratic,225391,Suzanne Bonamici
Oregon,1,republican,139756,Brian J. Heinrich
Oregon,2,republican,272952,Greg Walden
Oregon,2,democratic,106640,"James """"Jim"""" Crary"
Oregon,3,democratic,274687,Earl Blumenauer
Oregon,4,republican,157743,Art Robinson
Oregon,4,democratic,220628,Peter A. DeFazio
Oregon,5,democratic,199505,Kurt Schrader
Oregon,5,republican,160443,Colm Willis
Oregon,1,others,12948,
Oregon,2,others,1147,
Oregon,3,others,107668,
Oregon,4,others,19197,
Oregon,5,others,13160,
Ohio,1,others,130,
Ohio,2,others,7392,
Ohio,7,others,21694,
Ohio,8,others,13879,
Ohio,9,others,5,
Ohio,10,others,10897,
Ohio,12,others,13630,
Ohio,13,others,17,
Ohio,14,others,171,
Illinois,1,others,8,
Illinois,3,others,91,
Illinois,5,others,14660,
Illinois,9,others,92,
Illinois,10,others,26,
Illinois,12,others,18780,
Illinois,16,others,131,
Illinois,18,others,7,
