STATE,STATEA,CDCURRA,Total,White,Black or African American,American Indian and Alaska Native,Asian,Native Hawaiian and Other Pacific Islander,Some Other Race,Two or more races
Illinois,17,1,706550,303613,354097,301,17443,103,19255,11738
Illinois,17,2,694459,253856,393578,1139,6314,95,25713,13764
Illinois,17,3,704050,554906,35460,3459,31306,158,63289,15472
Illinois,17,4,702062,420391,28977,3538,24719,188,204348,19901
Illinois,17,5,743699,594110,22900,1120,63328,187,35743,26311
Illinois,17,6,730345,600898,17193,955,72910,64,18100,20225
Illinois,17,7,707513,264669,323450,1095,52122,148,48385,17644
Illinois,17,8,707268,454580,38308,6590,99254,1736,87930,18870
Illinois,17,9,721481,507446,68026,1847,95553,771,22005,25833
Illinois,17,10,711265,493441,44334,3364,82379,422,67579,19746
Illinois,17,11,722584,496219,76321,3335,58102,418,58508,29681
Illinois,17,12,687072,533450,117582,1329,8924,110,8331,17346
Illinois,17,13,704211,570733,77759,1086,31373,0,5983,17277
Illinois,17,14,742235,645869,28485,1023,28809,186,15912,21951
Illinois,17,15,691196,639755,31004,1228,3770,282,2998,12159
Illinois,17,16,684888,619708,25648,1341,11044,176,11562,15409
Illinois,17,17,679926,553346,80141,1776,10393,245,11838,22187
Illinois,17,18,700276,628155,29816,1320,20195,28,5299,15463
Ohio,39,1,740979,528785,153148,1049,27695,0,6680,23622
Ohio,39,2,734712,626756,71218,1183,14023,1326,2967,17239
Ohio,39,3,812264,435291,276374,2310,37678,68,21435,39108
Ohio,39,4,707219,637111,35888,3610,8129,74,4479,17928
Ohio,39,5,717088,654248,18872,1250,9691,857,10590,21580
Ohio,39,6,694694,658447,15368,1304,3887,0,2074,13614
Ohio,39,7,734091,677610,28285,1645,4713,0,3780,18058
Ohio,39,8,731637,640979,44808,1248,16544,0,6862,21196
Ohio,39,9,716235,533397,112356,3161,10655,503,19485,36678
Ohio,39,10,725301,553451,121710,1847,17383,414,5073,25423
Ohio,39,11,678001,269493,355642,1791,17489,327,8207,25052
Ohio,39,12,789634,683722,36840,1594,36877,136,3733,26732
Ohio,39,13,707603,580914,82532,977,15332,37,5696,22115
Ohio,39,14,720551,649331,35441,569,16156,355,4629,14070
Ohio,39,15,759569,679312,36182,1063,19593,86,2709,20624
Ohio,39,16,719864,662093,21642,1071,15917,45,3737,15359
Oregon,41,1,858910,682996,18791,5374,69904,4836,33889,43120
Oregon,41,2,831343,752017,5956,15829,10435,1882,15377,29847
Oregon,41,3,841456,665732,42053,7899,66538,5304,12169,41761
Oregon,41,4,814998,708868,5543,10607,21313,1621,24402,42644
Oregon,41,5,844006,705370,9703,9342,22490,5115,52136,39850
