state,district,party,candidatevotes,candidate
Illinois,1,democratic,189560,Bobby L. Rush
Illinois,1,republican,50960,"Jimmy Lee Tillman, Ii"
Illinois,10,democratic,156540,Brad Schneider
Illinois,10,republican,82124,Douglas R. Bennett
Illinois,11,democratic,145407,Bill Foster
Illinois,11,republican,82358,Nick Stella
Illinois,12,democratic,118724,Brendan Kelly
Illinois,12,republican,134884,Mike Bost
Illinois,13,democratic,134458,Betsy Dirksen Londrigan
Illinois,13,republican,136516,Rodney Davis
Illinois,14,democratic,156035,Lauren Underwood
Illinois,14,republican,141164,Randall M. \Randy\ Hultgren
Illinois,15,republican,181294,John M. Shimkus
Illinois,15,democratic,74309,Kevin Gaither
Illinois,16,republican,151254,Adam Kinzinger
Illinois,16,democratic,104569,Sara Dady
Illinois,17,democratic,142659,Cheri Bustos
Illinois,17,republican,87090,William W. \Bill\ Fawell
Illinois,18,republican,195927,Darin Lahood
Illinois,18,democratic,95486,Junius Rodriguez
Illinois,2,republican,44567,David Merkle
Illinois,2,democratic,190684,Robin Kelly
Illinois,3,republican,57885,Arthur J. Jones
Illinois,3,democratic,163053,Daniel William Lipinski
Illinois,4,democratic,143895,Jesus \Chuy\ Garcia
Illinois,4,republican,22294,Mark Wayne Lorch
Illinois,5,democratic,213992,Mike Quigley
Illinois,5,republican,65134,Tom Hanson
Illinois,6,republican,146445,Peter J. Roskam
Illinois,6,democratic,169001,Sean Casten
Illinois,7,republican,30497,Craig Cameron
Illinois,7,democratic,215746,Danny K. Davis
Illinois,8,republican,67073,Jitendra \Jd\ Diganvker
Illinois,8,democratic,130054,Raja Krishnamoorthi
Illinois,9,democratic,213368,Janice D. Schakowsky
Illinois,9,republican,76983,John D. Elleson
Ohio,1,republican,154409,Steve Chabot
Ohio,1,democratic,141118,Aftab Pureval
Ohio,2,democratic,119333,Jill Schiller
Ohio,2,republican,166714,Brad Wenstrup
Ohio,3,democratic,181575,Joyce Beatty
Ohio,3,republican,65040,Jim Burgess
Ohio,4,democratic,89412,Janet Garrett
Ohio,4,republican,167993,Jim Jordan
Ohio,5,democratic,99655,J. Michael Galbraith
Ohio,5,republican,176569,Bob Latta
Ohio,6,republican,172774,Bill Johnson
Ohio,6,democratic,76716,Shawna Roberts
Ohio,7,republican,153117,Bob Gibbs
Ohio,7,democratic,107536,Ken Harbaugh
Ohio,8,republican,173852,Warren Davidson
Ohio,8,democratic,87281,Vanessa Enoch
Ohio,9,democratic,157219,Marcy Kaptur
Ohio,9,republican,74670,Steven W. Kraus
Ohio,10,democratic,118785,Theresa A. Gasper
Ohio,10,republican,157554,Mike Turner
Ohio,11,democratic,206138,Marcia L. Fudge
Ohio,11,republican,44486,Beverly A. Goldstein
Ohio,12,republican,175677,Troy Balderson
Ohio,12,democratic,161251,Danny O'Connor
Ohio,13,republican,98047,Chris DePizzo
Ohio,13,democratic,153323,Tim Ryan
Ohio,14,republican,169809,David P. Joyce
Ohio,14,democratic,137549,Betsy Rader
Ohio,15,democratic,116112,Rick Neal
Ohio,15,republican,170593,Steve Stivers
Ohio,16,republican,170029,Anthony Gonzalez
Ohio,16,democratic,129681,Susan Moran Palmer
Oregon,1,democratic,231198,Suzanne Bonamici
Oregon,1,republican,116446,John Verbeek
Oregon,2,republican,207597,Greg Walden
Oregon,2,democratic,145298,Jamie McLeod-Skinner
Oregon,3,democratic,279019,Earl Blumenauer
Oregon,3,republican,76187,Tom Harrison
Oregon,4,republican,152414,Art Robinson
Oregon,4,democratic,208710,Peter DeFazio
Oregon,5,republican,149887,Mark Callahan
Oregon,5,democratic,197187,Kurt Schrader
Oregon,1,others,15605,
Oregon,2,others,15814,
Oregon,3,others,29120,
Oregon,4,others,11769,
Oregon,5,others,11395,
Ohio,1,others,5344,
Ohio,2,others,3614,
Ohio,3,others,62,
Ohio,5,others,7393,
Ohio,9,others,48,
Ohio,10,others,5387,
Ohio,11,others,36,
Ohio,12,others,4719,
Ohio,15,others,5738,
Illinois,1,others,17365,
Illinois,12,others,7935,
Illinois,13,others,7,
Illinois,15,others,5,
Illinois,16,others,2,
Illinois,3,others,2396,
Illinois,5,others,5,
Illinois,6,others,0,
